Name,Label,Format,Description,Tables
crash_id,Crash ID,"int, not null",The unique identifier for a given crash. This field is part of the primary key.,"crash, vhcl, partic"
rec_typ_cd,Record Type,"char(1), not null","Indicates the data table: 1 = CRASH,  2 = VHCL (i.e, ""vehicle""), 3 = PARTIC (i.e., ""participant"")",
vhcl_id,Vehicle ID,"int, not null",The unique identifier for a given vehicle. This field is part of the primary key.,"vhcl, partic"
partic_id,Participant ID,"int, not null",The unique identifier for a given participant. This field is part of the primary key.,partic
partic_dsply_seq_no,Participant Display Seq. #,"tinyint, not null","Sequence of participants in a given crash, overall.",partic
vhcl_coded_seq_no,Vehicle Coded Seq. #,"tinyint, not null","Sequential number assigned to each vehicle in the crash.  Always blank on CRASH table.  Occurs on the VHCL table, and is represented as the ""Vehicle Sequence Number"" on the PARTIC table.","vhcl, partic"
partic_vhcl_seq_no,Participant Vehicle Seq. #,"tinyint, not null","Only occurs on PARTIC Table.  Indicates sequence of participants within a given vehicle. For non-occupants, indicates overall sequence of non-occupants struck.",partic
ser_no,Crash Serial #,"char(5), not null",DMV Serial Number assigned to the crash.  Unique within a given county and year.,crash
crash_mo_no,Crash Month,"char(2), not null","May be concatenated with other date fields after import, and converted to ""Date"" format.",crash
crash_day_no,Crash Day,"char(2), not null",  ,crash
crash_yr_no,Crash Year,"char(4), not null",  ,crash
crash_wk_day_cd,Week Day Code,"char(1), null",Ordinal ranking of crash day within a typical 7-day cycle.,crash
crash_hr_no,Crash Hour,"char(2), not null",,crash
cnty_id,County Code,"char(2), not null",2-character code assigned sequenctially to alphabetic list of Oregon Counties,crash
city_sect_id,City Section ID,"integer, null","Identifier for Oregon Cities, and Portland Sections; see Code Manual for list",crash
urb_area_cd,Urban Area Code,"tinyint, null",Federal Aid Urban Transportation Boundary,crash
fc_cd,Functional Class Code,"char(2), not null",,crash
nhs_flg,NHS Flag,"bit, not null",May be imported as Yes/No field,crash
hwy_no,Highway Number,"char(3), null",Internal ODOT index number.  Refer to Code Manual for cross-reference with posted route shields.,crash
hwy_sfx_no,Highway Suffix,"char(2), null",Not in use yet; will correspond to TransInfo connection identifier,crash
rdwy_no,Roadway Number,"char(1), null",Coded for highways only.,crash
hwy_compnt_cd,Highway Component,"char(1), null",Coded for highways only.,crash
mlge_typ_cd,Mileage Type,"char(1), null",,crash
rd_con_no,Connection Number,"char(1), null",,crash
lrs_val,Linear Reference System (LRS),"varchar(20), null",Currently available for highways only.  Defines highway segment,crash
lat_deg_no,Latitude Degrees,"integer, null",,crash
lat_minute_no,Latitude Minutes,"integer, null",,crash
lat_sec_no,Latitude Seconds,"decimal(9,7), null",,crash
longtd_deg_no,Longitude Degrees,"integer, null",,crash
longtd_minute_no,Longitude Minutes,"integer, null",,crash
longtd_sec_no,Longitude Seconds,"decimal(9,7), null",,crash
specl_jrsdct_id,Special RoadType,"char(2), null",For recreational road coding,crash
jrsdct_grp_cd,RoadType Group,"char(2), not null",For recreational road coding,crash
agy_st_no,Street Number,"char(7), null",Field length is 5 for City Streets; up to 7 for County Roads.  Not coded for rural highways.,crash
isect_agy_st_no,Nearest Intersecting Street Number,"char(7), null",Field length is 5 for City Streets; up to 7 for County Roads.  Not coded for rural highways.,crash
