OBJECTID,LocationDesc,Bound,StartDate,StartDay,EndDate,EndDay,ADTVolume,AMVolume,AMPkHrVol,PMVolume,PMPkHrVol,ExceptType,Comment,CountID,LocationID,CountType,x,y
1,EAGLE CREST DR S of STEPHENSON ST,N,4/10/2019,THU,4/11/2019,FRI,421,187,45,234,39,Normal Weekday,,19041102.VL2,LEG77374,VOLUME,-13659977.2879,5691068.3977999985
2,EAGLE CREST DR S of STEPHENSON ST,S,4/10/2019,THU,4/11/2019,FRI,395,120,32,275,43,Normal Weekday,,19041102.VL2,LEG77374,VOLUME,-13659977.2879,5691068.3977999985
3,EAGLE CREST DR S of STEPHENSON ST,S,6/10/2018,MON,6/13/2018,THU,437,133,32,304,42,Normal Weekday,,18061114.VL2,LEG77374,VOLUME,-13659977.2879,5691068.3977999985
4,EAGLE CREST DR S of STEPHENSON ST,N,6/10/2018,MON,6/13/2018,THU,454,193,48,261,38,Normal Weekday,,18061114.VL2,LEG77374,VOLUME,-13659977.2879,5691068.3977999985
5,BIKEPATH N of HARBOR WAY,N,5/8/2016,MON,5/10/2016,WED,1130,484,145,646,135,Bike Count,ONLY BIKES,16050971B.VL2,LEG65,VOLUME,-13656062.3292,5702451.823100001
6,BIKEPATH N of HARBOR WAY,S,5/8/2016,MON,5/10/2016,WED,967,334,96,633,128,Bike Count,ONLY BIKES,16050971B.VL2,LEG65,VOLUME,-13656062.3292,5702451.823100001
7,BIKEPATH N of HARBOR WAY,n,6/20/2016,TUE,6/22/2016,THU,335,77,17,258,33,Bike Count,ONLY BIKES,16062173.VL2,LEG65,VOLUME,-13656062.3292,5702451.823100001
8,BIKEPATH N of HARBOR WAY,s,6/20/2016,TUE,6/22/2016,THU,334,60,13,274,48,Bike Count,ONLY BIKES,16062173.VL2,LEG65,VOLUME,-13656062.3292,5702451.823100001
9,BROADWAY BRIDGE N of BROADWAY / HOYT ST / BROADWAY,N,8/17/2016,THU,8/18/2016,FRI,5326,1255,248,4071,763,Normal Weekday,,16081872.VL1,LEG36653,VOLUME,-13656409.2752,5704945.589400001
10,BROADWAY BRIDGE N of BROADWAY / HOYT ST / BROADWAY,S,8/17/2016,THU,8/18/2016,FRI,9233,3958,869,5275,684,Normal Weekday,,16081875.VL1,LEG36653,VOLUME,-13656409.2752,5704945.589400001
11,E BURNSIDE ST E of 109TH AVE,E,2/23/2014,MON,2/25/2014,WED,3859,1000,192,2859,488,Normal Weekday,@ 10948,14022409.VL1,LEG5707,VOLUME,-13642252.7515,5704171.8279
12,E BURNSIDE ST E of 109TH AVE,w,2/23/2014,MON,2/25/2014,WED,4185,1819,424,2366,334,Normal Weekday,@ 10948,14022414.VL1,LEG5707,VOLUME,-13642252.7515,5704171.8279
