cnty_id,cnty_nm,city_sect_id,city_nm,urb_area_cd,urb_area_nm,lat_deg_no,lat_min,lat_sec_no,longtd_deg,longtd_min,longtd_sec,dd_lat,dd_long
"01",Baker,13,Baker City,,,44,46,26.810,-117,49,49.540,44.77411388889,-117.83042777778
"01",Baker,84,Haines,,,44,54,43.280,-117,56,22.130,44.91202222222,-117.93948055556
"01",Baker,85,Halfway,,,44,52,45.010,-117,6,31.420,44.87916944444,-117.10872777778
"01",Baker,96,Huntington,,,44,21,13.510,-117,16,2.520,44.35375277778,-117.26736666667
"01",Baker,175,Richland,,,44,46,3.620,-117,10,12.230,44.76767222222,-117.17006388889
"01",Baker,205,Sumpter,,,44,44,28.220,-118,11,48.520,44.74117222222,-118.19681111111
"01",Baker,220,Unity,,,44,26,46.730,-118,11,20.490,44.44631388889,-118.18902500000
"01",Baker,,,7,BAKR CTY UA,44,47,59.390,-117,51,13.820,44.79983055556,-117.85383888889
"01",Baker, , ,,,44,43,6.320,-117,39,44.940,44.71842222222,-117.66248333333
"02",Benton,1,Adair Village,,,44,40,29.350,-123,13,3.730,44.67481944444,-123.21770277778
"02",Benton,4,Albany,,,44,39,7.480,-123,7,16.930,44.65207777778,-123.12136944444
"02",Benton,42,Corvallis,,,44,31,31.750,-123,16,52.950,44.52548611111,-123.28137500000
"02",Benton,142,Monroe,,,44,19,1.780,-123,17,56.670,44.31716111111,-123.29907500000
"02",Benton,163,Philomath,,,44,32,16.150,-123,21,27.360,44.53781944444,-123.35760000000
"02",Benton,,,1,ALBANY UA,44,38,59.400,-123,8,13.590,44.64983333333,-123.13710833333
"02",Benton,,,19,CORVALIS UA,44,34,43.410,-123,18,51.550,44.57872500000,-123.31431944444
"02",Benton, ,,,,44,30,3.020,-123,26,47.610,44.50083888889,-123.44655833333
"03",Clackamas,16,Barlow,,,45,15,8.130,-122,43,24.290,45.25225833333,-122.72341388889
"03",Clackamas,26,Canby,,,45,16,5.210,-122,41,12.950,45.26811388889,-122.68693055556
"03",Clackamas,251,Damascus,,,45,26,33.640,-122,26,50.510,45.44267777778,-122.44736388889
"03",Clackamas,63,Estacada,,,45,17,49.450,-122,19,51.200,45.29706944444,-122.33088888889
"03",Clackamas,75,Gladstone,,,45,23,7.870,-122,35,46.670,45.38551944444,-122.59629722222
"03",Clackamas,87,Happy Valley,,,45,26,57.250,-122,31,5.310,45.44923611111,-122.51814166667
"03",Clackamas,106,Johnson City,,,45,24,18.920,-122,34,44.190,45.40525555556,-122.57894166667
"03",Clackamas,115,Lake Oswego,,,45,24,28.660,-122,41,48.750,45.40796111111,-122.69687500000
"03",Clackamas,138,Milwaukie,,,45,26,38.770,-122,37,14.450,45.44410277778,-122.62068055556
"03",Clackamas,140,Molalla,,,45,9,7.630,-122,35,28.750,45.15211944444,-122.59131944444
"03",Clackamas,160,Oregon City,,,45,20,6.150,-122,35,39.860,45.33504166667,-122.59440555556
"03",Clackamas,245,Portland SE,,,45,27,35.180,-122,32,10.170,45.45977222222,-122.53615833333
"03",Clackamas,247,Portland SW,,,45,25,57.420,-122,41,54.950,45.43261666667,-122.69859722222
"03",Clackamas,177,Rivergrove,,,45,23,6.950,-122,44,9.880,45.38526388889,-122.73607777778
"03",Clackamas,185,Sandy,,,45,24,19.270,-122,16,41.340,45.40535277778,-122.27815000000
"03",Clackamas,215,Tualatin,,,45,22,40.930,-122,43,55.230,45.37803611111,-122.73200833333
"03",Clackamas,230,West Linn,,,45,21,14.460,-122,38,26.000,45.35401666667,-122.64055555556
"03",Clackamas,234,Wilsonville,,,45,18,22.300,-122,46,22.000,45.30619444444,-122.77277777778
"03",Clackamas,,,13,CANBY UA,45,16,36.810,-122,39,53.380,45.27689166667,-122.66482777778
"03",Clackamas,,,46,MOLALLA UA,45,8,41.610,-122,35,22.920,45.14489166667,-122.58970000000
"03",Clackamas,,,57,PORTLAND UA,45,22,34.060,-122,32,3.530,45.37612777778,-122.53431388889
"03",Clackamas,,,68,SANDY UA,45,24,19.520,-122,18,7.900,45.40542222222,-122.30219444444
"03",Clackamas, , ,,,45,10,20.210,-122,15,24.500,45.17228055556,-122.25680555556
"04",Clatsop,9,Astoria,,,46,11,0.770,-123,48,48.500,46.18354722222,-123.81347222222
"04",Clatsop,27,Cannon Beach,,,45,53,37.730,-123,57,7.010,45.89381388889,-123.95194722222
"04",Clatsop,73,Gearhart,,,46,1,43.280,-123,54,28.710,46.02868888889,-123.90797500000
"04",Clatsop,189,Seaside,,,45,58,9.740,-123,55,54.670,45.96937222222,-123.93185277778
"04",Clatsop,226,Warrenton,,,46,10,27.380,-123,54,55.930,46.17427222222,-123.91553611111
"04",Clatsop,,,5,ASTORIA UA,46,12,33.260,-123,46,15.140,46.20923888889,-123.77087222222
"04",Clatsop,,,69,SEASIDE UA,46,0,18.590,-123,54,37.100,46.00516388889,-123.91030555556
"04",Clatsop, ,,,,46,1,23.100,-123,45,1.910,46.02308333333,-123.75053055556
"05",Columbia,35,Clatskanie,,,46,6,12.480,-123,12,1.860,46.10346666667,-123.20051666667
"05",Columbia,37,Columbia City,,,45,53,44.380,-122,48,33.360,45.89566111111,-122.80926666667
"05",Columbia,170,Prescott,,,46,2,53.830,-122,53,22.170,46.04828611111,-122.88949166667
"05",Columbia,172,Rainier,,,46,5,11.290,-122,57,4.670,46.08646944444,-122.95129722222
"05",Columbia,186,Scappoose,,,45,45,12.070,-122,52,43.980,45.75335277778,-122.87888333333
"05",Columbia,182,St. Helens,,,45,50,22.820,-122,49,11.600,45.83967222222,-122.81988888889
"05",Columbia,223,Vernonia,,,45,51,17.140,-123,10,53.070,45.85476111111,-123.18140833333
"05",Columbia,,,61,RAINIER UA,46,5,13.780,-122,58,3.420,46.08716111111,-122.96761666667
"05",Columbia,,,73,ST HELEN UA,45,50,15.095,-122,51,8.662,45.83752638889,-122.85240611111
"05",Columbia, ,,,,45,59,3.670,-123,6,22.040,45.98435277778,-123.10612222222
"06",Coos,14,Bandon,,,43,6,35.220,-124,25,41.280,43.10978333333,-124.42813333333
"06",Coos,39,Coos Bay,,,43,22,24.790,-124,14,21.650,43.37355277778,-124.23934722222
"06",Coos,40,Coquille,,,43,10,46.030,-124,11,6.450,43.17945277778,-124.18512500000
"06",Coos,116,Lakeside,,,43,34,59.600,-124,10,55.260,43.58322222222,-124.18201666667
"06",Coos,149,Myrtle Point,,,43,3,43.730,-124,8,3.970,43.06214722222,-124.13443611111
"06",Coos,153,North Bend,,,43,24,39.160,-124,14,1.490,43.41087777778,-124.23374722222
"06",Coos,168,Powers,,,42,53,4.810,-124,4,15.050,42.88466944444,-124.07084722222
"06",Coos,,,17,COOS BAY UA,43,23,13.020,-124,14,29.900,43.38695000000,-124.24163888889
"06",Coos, ,,,,43,8,41.210,-124,7,56.720,43.14478055556,-124.13242222222
"07",Crook,171,Prineville,,,44,17,42.010,-120,51,54.480,44.29500277778,-120.86513333333
"07",Crook,,,59,PRINEVL UA,44,18,56.010,-120,51,10.850,44.31555833333,-120.85301388889
"07",Crook, ,,,,44,9,15.700,-120,22,52.110,44.15436111111,-120.38114166667
"08",Curry,22,Brookings,,,42,4,34.100,-124,19,7.530,42.07613888889,-124.31875833333
"08",Curry,77,Gold Beach,,,42,22,38.500,-124,24,42.940,42.37736111111,-124.41192777778
"08",Curry,167,Port Orford,,,42,44,58.060,-124,29,33.050,42.74946111111,-124.49251388889
"08",Curry,,,11,BROOKINGS UA,42,4,18.300,-124,18,33.750,42.07175000000,-124.30937500000
"08",Curry, ,,,,42,27,28.740,-124,11,26.590,42.45798333333,-124.19071944444
"09",Deschutes,19,Bend,,,44,3,3.580,-121,18,51.320,44.05099444444,-121.31425555556
"09",Deschutes,252,La Pine,,,43,40,54.910,-121,29,16.510,43.68191944444,-121.48791944444
"09",Deschutes,173,Redmond,,,44,15,55.530,-121,10,23.720,44.26542500000,-121.17325555556
"09",Deschutes,197,Sisters,,,44,17,34.020,-121,33,19.820,44.29278333333,-121.55550555556
"09",Deschutes,,,9,BEND UA,44,2,57.110,-121,15,8.080,44.04919722222,-121.25224444444
"09",Deschutes,,,38,LA PINE UA,43,44,15.130,-121,33,33.400,43.73753611111,-121.55927777778
"09",Deschutes,,,63,REDMOND UA,44,14,19.510,-121,13,36.390,44.23875277778,-121.22677500000
"09",Deschutes, ,,,,43,47,15.970,-120,57,2.610,43.78776944444,-120.95072500000
"10",Douglas,29,Canyonville,,,42,55,45.840,-123,16,41.860,42.92940000000,-123.27829444444
"10",Douglas,53,Drain,,,43,39,49.140,-123,18,47.840,43.66365000000,-123.31328888889
"10",Douglas,61,Elkton,,,43,38,6.720,-123,34,9.180,43.63520000000,-123.56921666667
"10",Douglas,76,Glendale,,,42,44,18.320,-123,25,41.330,42.73842222222,-123.42814722222
"10",Douglas,148,Myrtle Creek,,,43,1,10.780,-123,16,37.940,43.01966111111,-123.27720555556
"10",Douglas,157,Oakland,,,43,25,20.360,-123,17,34.050,43.42232222222,-123.29279166667
